system:index,Forest Loss Total,year,.geo
0,3.2491573636080876E7,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,3.4661080591073304E7,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,3.2248266192611873E7,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,4.090258752283385E7,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,1.1240928935590076E8,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,6.34885384548651E7,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,8.559358927374412E7,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,1.059617286700265E8,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,1.0577126603959817E8,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,1.4876724922518575E8,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,1.0769596887501413E8,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,8.51333197841768E7,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,4.6247519929053456E7,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,1.411132993035173E8,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,4.8336203960730225E7,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,1.5186905839134568E8,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,1.2636574549333258E8,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,1.4144502725369442E8,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,9.722628441519009E7,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,1.0904844487137522E8,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,5.696304004924939E7,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,4.802121760098852E7,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,8.004349868395205E7,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
